year,position,song,artist_main,artist_full,song_and_artist,avg_rank,peak_rank,weeks_on_board
1985,21,A View To A Kill,Duran Duran,Duran Duran,A View To A Kill - Duran Duran,25.41,1,153
1985,22,Sussudio,Phil Collins,Phil Collins,Sussudio - Phil Collins,25.65,1,153
1985,23,Heaven,Bryan Adams,Bryan Adams,Heaven - Bryan Adams,27.63,1,190
1985,24,Tonight She Comes,The Cars,The Cars,Tonight She Comes - The Cars,27.78,9,45
1985,25,If You Love Somebody Set Them Free,Sting,Sting,If You Love Somebody Set Them Free - Sting,28.22,3,171
1985,26,One More Night,Phil Collins,Phil Collins,One More Night - Phil Collins,28.56,1,171
1985,27,Crazy For You,Madonna,Madonna,Crazy For You - Madonna,28.67,1,231
1985,28,Like A Virgin,Madonna,Madonna,Like A Virgin - Madonna,28.75,1,162
1985,29,Don't Lose My Number,Phil Collins,Phil Collins,Don't Lose My Number - Phil Collins,28.78,4,171
1985,30,Shout,Tears For Fears,Tears For Fears,Shout - Tears For Fears,28.89,1,190
1985,31,Saving All My Love For You,Whitney Houston,Whitney Houston,Saving All My Love For You - Whitney Houston,29.0,1,210
1985,32,That's What Friends Are For,Dionne and Friends,Dionne & Friends,That's What Friends Are For - Dionne and Friends,29.0,4,36
1985,33,Freeway Of Love,Aretha Franklin,Aretha Franklin,Freeway Of Love - Aretha Franklin,29.37,3,190
1985,34,Easy Lover,Philip Bailey With Phil Collins,Philip Bailey With Phil Collins,Easy Lover - Philip Bailey With Phil Collins,29.59,2,255
1985,35,Pop Life,Prince And The Revolution,Prince And The Revolution,Pop Life - Prince And The Revolution,29.79,7,105
1985,36,Everything She Wants,Wham!,Wham!,Everything She Wants - Wham!,30.05,1,210
1985,37,Neutron Dance,The Pointer Sisters,The Pointer Sisters,Neutron Dance - The Pointer Sisters,30.06,6,255
1985,38,Walk Of Life,Dire Straits,Dire Straits,Walk Of Life - Dire Straits,30.11,13,45
1985,39,The Heat Is On,Glenn Frey,Glenn Frey,The Heat Is On - Glenn Frey,30.15,2,290
1985,40,We Don't Need Another Hero (Thunderdome),Tina Turner,Tina Turner,We Don't Need Another Hero (Thunderdome) - Tina Turner,30.17,2,171
1985,41,Material Girl,Madonna,Madonna,Material Girl - Madonna,30.18,2,153
1985,42,Lover Boy,Billy Ocean,Billy Ocean,Lover Boy - Billy Ocean,30.38,2,216
1985,43,Summer Of '69,Bryan Adams,Bryan Adams,Summer Of '69 - Bryan Adams,30.53,5,153
1985,44,Talk To Me,Stevie Nicks,Stevie Nicks,Talk To Me - Stevie Nicks,30.71,11,28
1985,45,Glory Days,Bruce Springsteen,Bruce Springsteen,Glory Days - Bruce Springsteen,31.11,5,171
1985,46,Wrap Her Up,Elton John,Elton John,Wrap Her Up - Elton John,31.4,20,55
1985,47,Angel,Madonna,Madonna,Angel - Madonna,31.47,5,153
1985,48,We Are The World,USA For Africa,USA For Africa,We Are The World - USA For Africa,31.61,1,171
1985,49,Money For Nothing,Dire Straits,Dire Straits,Money For Nothing - Dire Straits,31.64,1,253
1985,50,Everytime You Go Away,Paul Young,Paul Young,Everytime You Go Away - Paul Young,31.87,1,276
1985,51,Never Surrender,Corey Hart,Corey Hart,Never Surrender - Corey Hart,31.9,3,210
1985,52,Too Late For Goodbyes,Julian Lennon,Julian Lennon,Too Late For Goodbyes - Julian Lennon,32.06,5,153
1985,53,Lover Girl,Teena Marie,Teena Marie,Lover Girl - Teena Marie,32.48,4,294
1985,54,Party All The Time,Eddie Murphy,Eddie Murphy,Party All The Time - Eddie Murphy,32.69,2,91
1985,55,Get It On (Bang A Gong),The Power Station,The Power Station,Get It On (Bang A Gong) - The Power Station,33.0,9,120
1985,56,Freedom,Wham!,Wham!,Freedom - Wham!,33.5,3,171
1985,57,The Boys Of Summer,Don Henley,Don Henley,The Boys Of Summer - Don Henley,33.57,5,217
1985,58,I'm Goin' Down,Bruce Springsteen,Bruce Springsteen,I'm Goin' Down - Bruce Springsteen,33.62,9,91
1985,59,Don't Come Around Here No More,Tom Petty And The Heartbreakers,Tom Petty And The Heartbreakers,Don't Come Around Here No More - Tom Petty And The Heartbreakers,33.86,13,105
1985,60,Dress You Up,Madonna,Madonna,Dress You Up - Madonna,33.94,5,136
1985,61,It's Only Love,Bryan Adams/Tina Turner,Bryan Adams/Tina Turner,It's Only Love - Bryan Adams/Tina Turner,34.0,19,21
1985,62,Don't You (Forget About Me),Simple Minds,Simple Minds,Don't You (Forget About Me) - Simple Minds,34.09,1,253
1985,63,One Night In Bangkok,Murray Head,Murray Head,One Night In Bangkok - Murray Head,34.1,3,210
1985,64,California Girls,David Lee Roth,David Lee Roth,California Girls - David Lee Roth,34.19,3,136
1985,65,Oh Sheila,Ready For The World,Ready For The World,Oh Sheila - Ready For The World,34.19,1,231
1985,66,Sugar Walls,Sheena Easton,Sheena Easton,Sugar Walls - Sheena Easton,34.2,9,150
1985,67,The Search Is Over,Survivor,Survivor,The Search Is Over - Survivor,34.24,4,231
1985,68,Love Is The Seventh Wave,Sting,Sting,Love Is The Seventh Wave - Sting,34.25,17,36
1985,69,Be Near Me,ABC,ABC,Be Near Me - ABC,34.26,9,190
1985,70,Would I Lie To You?,Eurythmics,Eurythmics,Would I Lie To You? - Eurythmics,34.53,5,190
1985,71,Everybody Wants To Rule The World,Tears For Fears,Tears For Fears,Everybody Wants To Rule The World - Tears For Fears,34.58,1,300
1985,72,Burning Heart,Survivor,Survivor,Burning Heart - Survivor,34.67,15,45
1985,73,You Are My Lady,Freddie Jackson,Freddie Jackson,You Are My Lady - Freddie Jackson,34.76,12,153
1985,74,Sentimental Street,Night Ranger,Night Ranger,Sentimental Street - Night Ranger,34.82,8,153
1985,75,Just Another Night,Mick Jagger,Mick Jagger,Just Another Night - Mick Jagger,34.86,12,105
1985,76,Sisters Are Doin' It For Themselves,Eurythmics and Aretha Franklin,Eurythmics & Aretha Franklin,Sisters Are Doin' It For Themselves - Eurythmics and Aretha Franklin,35.0,18,66
1985,77,I Would Die 4 U,Prince And The Revolution,Prince And The Revolution,I Would Die 4 U - Prince And The Revolution,35.08,8,114
